EmployeeID,Age,Department,Education,YearsAtCompany,MonthlyIncome,SatisfactionScore,Attrition
1106,55.0,Sales,High School,24.0,66966.04,4.0,No
1107,57.0,Engineering,Master's,1.0,37912.87,2.0,No
1108,34.0,Engineering,PhD,9.0,59016.14,2.0,No
1109,23.0,HR,PhD,23.0,96756.66,1.0,No
1110,21.0,Engineering,Bachelor's,17.0,30834.92,5.0,No
1111,25.0,Engineering,High School,12.0,52771.73,4.0,No
1112,46.0,HR,Master's,4.0,,3.0,No
1113,99.0,Engineering,PhD,22.0,45970.47,2.0,No
1114,59.0,Engineering,PhD,23.0,66403.77,2.0,Yes
1115,47.0,Engineering,Master's,0.0,71594.94,3.0,No
1116,29.0,Sales,Bachelor's,21.0,66574.57,,No
1117,35.0,Sales,PhD,0.0,44149.91,4.0,No
1118,35.0,Sales,High School,17.0,91507.72,,No
1119,46.0,HR,PhD,14.0,28446.35,5.0,Yes
1120,33.0,Finance,High School,16.0,39510.56,1.0,Yes
1121,52.0,Engineering,Master's,10.0,57545.94,2.0,No
1122,59.0,Engineering,High School,20.0,56340.91,5.0,Yes
1123,52.0,HR,Master's,24.0,62320.66,4.0,No
1124,24.0,Engineering,High School,21.0,78702.01,3.0,No
1125,50.0,Sales,Master's,16.0,53202.24,4.0,No
1126,57.0,Finance,High School,12.0,56705.94,2.0,No
1127,43.0,Marketing,Bachelor's,0.0,46082.26,4.0,No
1128,59.0,Engineering,High School,1.0,63824.93,1.0,No
1129,35.0,,High School,8.0,50222.82,2.0,No
1130,49.0,Marketing,Bachelor's,2.0,50214.14,3.0,No
1131,56.0,Finance,PhD,0.0,63152.25,1.0,No
1132,33.0,,PhD,20.0,70523.81,2.0,No
1133,52.0,Sales,High School,15.0,21878.4,3.0,No
1134,27.0,Marketing,Bachelor's,22.0,60411.68,1.0,No
1135,42.0,HR,High School,5.0,50946.95,1.0,No
1136,48.0,Marketing,Master's,16.0,69214.25,2.0,No
1137,22.0,Engineering,Master's,4.0,51248.16,,No
1138,26.0,Engineering,High School,4.0,74515.79,,No
1139,48.0,HR,PhD,5.0,44853.8,1.0,Yes
1140,48.0,Sales,PhD,2.0,21545.05,3.0,No
1141,40.0,Engineering,High School,20.0,70773.9,4.0,No
1142,,Finance,High School,22.0,42346.83,2.0,No
1143,31.0,Engineering,Master's,4.0,31296.22,2.0,No
1144,48.0,Engineering,PhD,20.0,55240.8,5.0,No
1145,45.0,Sales,High School,4.0,51412.32,5.0,No
1146,59.0,Marketing,Master's,9.0,67346.57,2.0,Yes
1147,53.0,Engineering,PhD,9.0,68386.16,5.0,No
1148,21.0,HR,Bachelor's,18.0,56434.31,3.0,Yes
1149,47.0,Marketing,Master's,16.0,41727.76,2.0,No
1150,33.0,Finance,PhD,20.0,59304.12,5.0,No
1151,23.0,Sales,PhD,13.0,57477.92,2.0,No
1152,59.0,Finance,Master's,8.0,63534.05,4.0,No
1153,26.0,Marketing,Bachelor's,13.0,41877.9,1.0,No
1154,28.0,Marketing,Master's,0.0,48994.41,2.0,Yes
1155,47.0,Marketing,PhD,18.0,62640.67,1.0,No
1156,29.0,Finance,High School,12.0,73709.91,5.0,Yes
1157,57.0,Marketing,High School,12.0,69488.83,1.0,No
1158,53.0,Finance,Master's,3.0,56230.82,2.0,No
1159,44.0,Marketing,PhD,0.0,47689.07,4.0,Yes
1160,35.0,HR,High School,16.0,61057.31,5.0,No
1161,52.0,Marketing,PhD,7.0,38629.14,2.0,No
1162,52.0,Finance,Master's,1.0,42744.98,5.0,Yes
1163,44.0,Engineering,High School,7.0,77646.57,3.0,No
1164,32.0,Marketing,PhD,6.0,61030.52,1.0,No
1165,59.0,Engineering,High School,1.0,49787.1,,No
1166,22.0,HR,Master's,21.0,67437.08,2.0,No
1167,,Sales,PhD,21.0,74304.62,4.0,No
1168,57.0,HR,High School,2.0,48330.44,5.0,No
1169,37.0,Marketing,Master's,17.0,48588.88,1.0,No
1170,22.0,Engineering,High School,11.0,46710.31,5.0,No
1171,22.0,Engineering,High School,0.0,,2.0,No
1172,48.0,Finance,Bachelor's,21.0,69603.36,5.0,No
1173,43.0,Engineering,Bachelor's,11.0,75788.55,,No
1174,57.0,Finance,Master's,4.0,70129.04,2.0,Yes
1175,52.0,Sales,Bachelor's,24.0,30516.73,5.0,Yes
1176,53.0,Marketing,Master's,16.0,59214.46,4.0,No
1177,,Finance,Bachelor's,15.0,39124.22,2.0,No
1178,39.0,Sales,High School,14.0,47306.28,2.0,No
1179,22.0,Engineering,Master's,22.0,57558.91,4.0,Yes
1180,46.0,Engineering,Master's,14.0,67533.48,3.0,No
1181,52.0,Sales,High School,4.0,41637.35,1.0,Yes
1182,,Engineering,Master's,20.0,20129.21,3.0,No
1183,52.0,Sales,Master's,13.0,57707.96,5.0,No
1184,24.0,Finance,Bachelor's,1.0,94653.57,4.0,No
1185,31.0,,Master's,10.0,51957.31,3.0,No
1186,37.0,Sales,PhD,18.0,,2.0,Yes
1187,58.0,Finance,High School,6.0,81732.45,5.0,No
1188,44.0,Finance,Bachelor's,5.0,63854.12,5.0,No
1189,25.0,Finance,Bachelor's,1.0,58252.92,3.0,No
1190,54.0,HR,PhD,5.0,61631.75,3.0,Yes
1191,26.0,Marketing,High School,17.0,58753.66,4.0,No
1192,42.0,Engineering,High School,1.0,37903.68,1.0,No
1193,31.0,HR,Bachelor's,17.0,34878.32,3.0,No
1194,36.0,Finance,Master's,14.0,83302.42,3.0,Yes
1195,53.0,Sales,Bachelor's,18.0,57758.25,2.0,Yes
1196,29.0,Finance,High School,1.0,56501.43,5.0,No
1197,26.0,Marketing,PhD,19.0,53646.59,1.0,No
1198,36.0,Finance,Bachelor's,24.0,66716.1,2.0,Yes
1199,49.0,Sales,High School,5.0,93080.37,4.0,No
1200,,Marketing,Bachelor's,0.0,62859.29,4.0,Yes
